"Species","SASAP.Region","YEAR","median_wgt","p05_wgt","p95_wgt"
"chinook","Kodiak",2000,14.925081198593,14.9204627879651,14.929699609221
"chinook","Kodiak",2001,12.8337408333635,11.6687080183544,13.9987736483727
"chinook","Kodiak",2002,9.50641348255218,8.95267950957352,10.0601474555308
"chinook","Kodiak",2003,9.94335335686664,9.60878846068666,10.2779182530466
"chinook","Kodiak",2004,11.3543636185648,11.0006849167698,11.7080423203598
"chinook","Kodiak",2005,11.1577507081812,10.2766750404137,12.0388263759486
"chinook","Kodiak",2006,10.3452244712291,10.3116559127642,10.3787930296939
"chinook","Kodiak",2007,9.9870800926365,9.4411118554175,10.5330483298555
"chinook","Kodiak",2008,8.82743663216482,8.04007565920445,9.6147976051252
"chinook","Kodiak",2009,10.663545862532,9.19216571023929,12.1349260148246
"chinook","Kodiak",2010,8.68305883875092,7.92645586142336,9.43966181607848
"chinook","Kodiak",2011,9.61061189559264,9.36242270650051,13.2798111895593
"chinook","Kodiak",2012,8.66147906435057,7.28975871249699,10.0331994162042
"chinook","Kodiak",2013,7.55004870463954,7.48395803299398,7.61613937628511
"chinook","Kodiak",2014,8.38226250744491,7.09273712030971,9.67178789458011
"chinook","Kodiak",2015,9.60870387277367,9.28043116357972,9.93697658196763
"chinook","Kodiak",2016,8.73576608678649,8.27177480687685,9.19975736669614
"chinook","Kotzebue",1976,25.3333333333333,25.3333333333333,25.3333333333333
"chinook","Kotzebue",1977,26.9,26.9,26.9
"chinook","Kotzebue",1978,19.4825174825175,19.4825174825175,19.4825174825175
"chinook","Kotzebue",1979,15.5198237885463,15.5198237885463,15.5198237885463
"chinook","Kotzebue",1980,12.9282511210762,12.9282511210762,12.9282511210762
"chinook","Kotzebue",1981,21.1392405063291,21.1392405063291,21.1392405063291
"chinook","Kotzebue",1982,15.134328358209,15.134328358209,15.134328358209
"chinook","Kotzebue",1983,16.9421487603306,16.9421487603306,16.9421487603306
"chinook","Kotzebue",1984,14.8878504672897,14.8878504672897,14.8878504672897
"chinook","Kotzebue",1985,17.5555555555556,17.5555555555556,17.5555555555556
